,name,payoff,faction,took_part
0,אביגדור ליברמן,1.014536701939867e-11,ישראל ביתינו,0.09848377497520193
1,איתן כבל,1.6713557794123355e-11,המחנה הציוני,0.6817344480657503
2,סופה לנדבר,9.646226896541627e-11,ישראל ביתינו,0.49837041235652546
3,צחי הנגבי,4.1938715086438695e-11,הליכוד,0.5619951820887062
4,ישראל כץ,0.14973262123557224,הליכוד,0.3929431769873884
5,ציפי לבני,1.9078465215572153e-11,המחנה הציוני,0.46776250531387276
6,איוב קרא,8.039126445607e-11,הליכוד,0.5601530395352132
7,יובל שטייניץ,0.017239784263773712,הליכוד,0.5540597987813518
8,סילבן שלום,1.4479260064215864e-11,הליכוד,0.06872608757262293
9,דוד אזולאי,2.514317471518084e-11,"ש""ס",0.32719285815502336
10,יצחק וקנין,0.4652406414608626,"ש""ס",0.6536771999433187
11,משולם נהרי,7.321319967979669e-11,"ש""ס",0.45954371545982714
12,אילן גילאון,1.8988271832685571e-10,מרצ,0.6815927447924047
13,זהבה גלאון,4.1788994944553315e-11,מרצ,0.3373954938359076
14,מוסי רז,1.7524850916853146e-09,מרצ,0.37267960889896556
15,משה גפני,0.048128341355530874,יהדות התורה,0.5938784185914695
16,יעקב ליצמן,2.916158595421699e-11,יהדות התורה,0.4286524018704832
17,יולי יואל אדלשטיין,0.03743315450540232,הליכוד,0.5627036984554343
18,חיים כץ,0.012904999834313672,הליכוד,0.33002692362193564
19,עמיר פרץ,2.4273213240994193e-11,המחנה הציוני,0.40456284540172877
20,אחמד טיבי,0.07486631092915422,הרשימה המשותפת,0.4156157007226867
21,מאיר פרוש,6.646299689812118e-11,יהדות התורה,0.17925464078220207
22,יצחק כהן,0.39037433158823037,"ש""ס",0.42000850219640073
23,אורי אריאל,0.5576262418560187,הבית היהודי,0.5631288082754712
24,בנימין נתניהו,9.924833644556946e-12,הליכוד,0.2673940768031742
25,גילה גמליאל,6.118037152573549e-11,הליכוד,0.3668697746917954
26,משה כחלון,1.0111187014569298e-11,כולנו,0.09054839166784753
27,גלעד ארדן,0.7617144460306088,הליכוד,0.44112228992489727
28,יצחק הרצוג,1.3250941343119066e-11,המחנה הציוני,0.46691228567379905
29,יעקב מרגי,0.8556149730599064,"ש""ס",0.6413490151622503
30,ישראל אייכלר,0.4693912329652055,יהדות התורה,0.601388692078787
31,ג`מאל זחאלקה,5.474023928156716e-11,הרשימה המשותפת,0.32988522034859
32,ניסן סלומינסקי,1.0477981666367389e-11,הבית היהודי,0.6976052146804591
33,זאב בנימין בגין,2.4553793227080702e-11,הליכוד,0.6023806149922063
34,אריה דרעי,1.0137193153051809e-11,"ש""ס",0.10868641065608615
35,יואל חסון,0.3743315504371568,המחנה הציוני,0.6338387416749327
36,אברהם דיכטר,9.751933664539758e-12,הליכוד,0.5489584809409097
37,זאב אלקין,9.781689302291242e-12,הליכוד,0.49057673232251664
38,שלי יחימוביץ`,5.4052423815402575e-11,המחנה הציוני,0.5807000141703273
39,רוברט אילטוב,1.2092484553171562e-11,ישראל ביתינו,0.5577440838883378
40,דב חנין,0.14438502677016626,הרשימה המשותפת,0.6913702706532521
41,יחיאל (חיליק) בר,0.9060784184054091,המחנה הציוני,0.8197534363043786
42,אלעזר שטרן,1.0185750840915854e-11,יש עתיד,0.003117472013603514
43,אורי מקלב,8.72199869804254e-11,יהדות התורה,0.7242454300694346
44,אופיר אקוניס,1.1677652117850742e-11,הליכוד,0.45670964999291486
45,חמד עמאר,0.4598930476045074,ישראל ביתינו,0.5615700722686694
46,דני דנון,1.0166845054987878e-11,הליכוד,0.027915544849086014
47,מסעוד גנאים,1.802309247509174e-09,הרשימה המשותפת,0.4934107977894289
48,ציפי חוטובלי,2.4886135435335184e-11,הליכוד,0.42411789712342357
49,יריב לוין,5.548960401228715e-11,הליכוד,0.5909026498512115
50,אורלי לוי אבקסיס,2.2337553319043834e-11,ישראל ביתינו,0.3828822445798498
51,מנחם אליעזר מוזס,0.07135736893988882,יהדות התורה,0.6378064333286099
52,מירי רגב,9.814368736970942e-12,הליכוד,0.44112228992489727
53,נחמן שי,0.16577540168888066,המחנה הציוני,0.8343488734589769
54,משה יעלון,1.2209179907853362e-11,הליכוד,0.12753294601105286
55,חנין זועבי,2.7828020090424974e-11,הרשימה המשותפת,0.35482499645741816
56,אכרם חסון,0.4385026742383866,כולנו,0.6019555051721694
57,נפתלי בנט,3.9582902146052536e-11,הבית היהודי,0.25138160691511974
58,איילת שקד,2.4791231292768692e-11,הבית היהודי,0.359642907751169
59,אלי בן-דהן,0.14438502695197492,הבית היהודי,0.6678475272778801
60,מרדכי יוגב,9.78608077282354e-12,הבית היהודי,0.6460252231826555
61,שולי מועלם-רפאלי,9.761958552065578e-12,הבית היהודי,0.652118463936517
62,דוד ביטן,0.37433155034608656,הליכוד,0.6883945019129942
63,יוליה מלינובסקי,1.7806595829622262e-11,ישראל ביתינו,0.4688961315006377
64,דוד אמסלם,2.4571117716407083e-11,הליכוד,0.6239195125407397
65,מרב מיכאלי,0.13089176129878238,המחנה הציוני,0.6716735156582117
66,סתיו שפיר,1.0087042071819467e-10,המחנה הציוני,0.6668556043644608
67,אראל מרגלית,1.0117963055311424e-11,המחנה הציוני,0.2709366586368145
68,איציק שמולי,0.5882352950166931,המחנה הציוני,0.8738840867224033
69,מיקי רוזנטל,2.821019123076494e-11,המחנה הציוני,0.5717727079495536
70,מיכל בירן,0.294117645419218,המחנה הציוני,0.6849936233526994
71,דניאל עטר,1.0129176088094009e-11,המחנה הציוני,0.10089273062207738
72,יוסי יונה,4.1217290862100656e-11,המחנה הציוני,0.5556185347881536
73,אלעזר שטרן,4.063295143929919e-11,יש עתיד,0.5842425960039677
74,יאיר לפיד,3.0684333172488184e-11,יש עתיד,0.35029049171035853
75,שי פירון,5.911788233996031e-11,יש עתיד,0.0208303811818053
76,יעל גרמן,0.08556149645983922,יש עתיד,0.6396485758821029
77,מאיר כהן,0.9144385036199649,יש עתיד,0.6372396202352274
78,יעקב פרי,1.013101500843815e-11,יש עתיד,0.35255774408388835
79,עליזה לביא,2.7542779521907356e-11,יש עתיד,0.5308204619526711
80,עפר שלח,1.0061144078977176e-11,יש עתיד,0.48547541448207454
81,יואל רזבוזוב,1.6331642670601602e-11,יש עתיד,0.5091398611307921
82,קארין אלהרר,1.0148325683330231e-11,יש עתיד,0.5116905200510132
83,מיקי לוי,0.6256684495580851,יש עתיד,0.7677483349865382
84,פנינה תמנו,1.0231411145890617e-11,יש עתיד,0.1509139861130792
85,יעקב אשר,9.804407056483242e-12,יהדות התורה,0.4569930565396061
86,טלב אבו עראר,0.5133689827451263,הרשימה המשותפת,0.416607623636106
87,באסל גטאס,6.753759273580446e-11,הרשימה המשותפת,0.17769590477540032
88,תמר זנדברג,0.294117645823259,מרצ,0.6784752727788012
89,עיסווי פריג`,0.31550802122975213,מרצ,0.6672807141844976
90,מיכל רוזין,1.2090411423645413e-10,מרצ,0.7259458693495819
91,עמר בר-לב,1.5196252051229536e-11,המחנה הציוני,0.6864106560861556
92,יואב בן צור,0.46524064188848924,"ש""ס",0.5340796372396203
93,ינון מגל,1.0126314070707208e-11,הבית היהודי,0.1229984412639932
94,בצלאל סמוטריץ`,0.928642631069974,הבית היהודי,0.6736573614850503
95,ז`קי לוי,5.120813349349857e-11,הליכוד,0.5683718293892589
96,יואב קיש,2.462310750444756e-11,הליכוד,0.6470171460960749
97,מכלוף מיקי זוהר,3.171486469500606e-11,הליכוד,0.624911435454159
98,ענת ברקו,0.48663101675040304,הליכוד,0.7802182230409522
99,מנואל טרכטנברג,1.015162683019421e-11,המחנה הציוני,0.27221198809692504
100,רויטל סויד דהאן,0.8691082368893904,המחנה הציוני,0.6057814935525011
101,זוהיר בהלול,2.6023117530106913e-11,המחנה הציוני,0.58707666147088
102,איתן ברושי,0.24497117811691665,המחנה הציוני,0.6484341788295309
103,קסניה סבטלובה,0.4171122993830404,המחנה הציוני,0.5741816635964291
104,איילת נחמיאס ורבין,0.08556149623145164,המחנה הציוני,0.6254782485475414
105,איימן עודה,2.875740818625701e-10,הרשימה המשותפת,0.5152331018846535
106,עאידה תומא סלימאן,1.77671175525494e-10,הרשימה המשותפת,0.5863681451041519
107,עבד אל חכים חאג` יחיא,0.315508021049033,הרשימה המשותפת,0.6341221482216239
108,יוסף ג`בארין,4.7251849150102126e-11,הרשימה המשותפת,0.5228850786453167
109,אוסאמה סעדיה,2.1319489072712312e-10,הרשימה המשותפת,0.2955930281989514
110,עבדאללה אבו מערוף,0.29513577429259635,הרשימה המשותפת,0.32705115488167774
111,חיים ילין,1.0561719696617984e-10,יש עתיד,0.724103726796089
112,שרון גל,1.0238488990236429e-11,ישראל ביתינו,0.02338104010202636
113,יואב גלנט,2.477536316140544e-11,כולנו,0.46110245146662887
114,אלי אלאלוף,3.2096472313278173e-10,כולנו,0.6593453308771433
115,מיכאל אורן,9.72595498829156e-12,כולנו,0.6382315431486467
116,רחל עזריה,2.16795985123442e-11,כולנו,0.5824004534504748
117,טלי פלוסקוב,0.4171122989197803,כולנו,0.7602380614992207
118,יפעת שאשא ביטון,4.468006837654756e-11,כולנו,0.6779084596854187
119,אלי כהן,2.3902174401981574e-11,כולנו,0.49227717160266404
120,רועי פולקמן,0.5240641712737465,כולנו,0.8201785461244154
121,נאוה בוקר,0.36898395650064025,הליכוד,0.6730905483916678
122,אברהם נגוסה,2.2835473148953537e-11,הליכוד,0.739549383590761
123,נורית קורן,0.5828877005953689,הליכוד,0.7219781776959048
124,ירון מזוז,2.4722877099186655e-11,הליכוד,0.5763072126966133
125,אורן אסף חזן,0.4598930471643185,הליכוד,0.4007368570213972
126,אייל בן ראובן,1.0352046941576426e-11,המחנה הציוני,0.6317131925747484
127,מירב בן ארי,1.4846655214508823e-10,כולנו,0.712342355108403
128,שרן השכל,8.402329366629209e-11,הליכוד,0.5849511123706957
129,עודד פורר,0.1657754016380716,ישראל ביתינו,0.6222190732605923
130,כהן-פארן יעל,0.09625668542621905,המחנה הציוני,0.5595862264418308
131,אמיר אוחנה,0.23828555397921805,הליכוד,0.494119314156157
132,יגאל גואטה,0.08101658177115437,"ש""ס",0.1768456851353266
133,יהודה גליק,0.44237375815389407,הליכוד,0.4472155306787587
134,מלכיאלי מיכאל,0.5401069528559875,"ש""ס",0.4968116763497237
135,ג`מעה אזברגה,4.513751240158602e-10,הרשימה המשותפת,0.29686835765906194
136,סעיד אלחרומי,0.09625668351763467,הרשימה המשותפת,0.26866940626328467
137,דן סידה,1.6018526812294435e-10,"ש""ס",0.20972084455150913
138,סאלח סעד,1.8190076767708623e-11,המחנה הציוני,0.23040952245996882
139,לאה פדידה,4.4773289915680585e-11,המחנה הציוני,0.3014028624061216
140,יוסף עטאונה,1.0208216029797885e-11,הרשימה המשותפת,0.0922488309479949
141,ואאל יונס,3.284397592772021e-11,הרשימה המשותפת,0.0724103726796089
142,ינון אזולאי,1.0184852045148615e-11,"ש""ס",0.00014170327334561429
